Device,ERU - 01,ERU - 01,ERU - 01,ERU - 01
Point,Exhaust Fan Air Flow Active,Exhaust Fan Speed Output Command,Exhaust Fan Start Stop Command,EA TEMP 4
10/19/17 23:15:00,0,0.323,1,61.3
10/19/17 23:30:00,0,0.314,1,61.5
10/19/17 23:45:00,0,0.332,1,60.3
10/20/17 0:00:00,0,0.368,1,59.6
10/20/17 0:15:00,0,0.403,1,60.9
10/20/17 0:30:00,0,0.442,1,60.9
10/20/17 0:45:00,0,0.455,1,59.1
10/20/17 1:00:00,0,0.449,1,56.6
10/20/17 1:15:00,0,0.462,1,56.5
10/20/17 1:30:00,0,0.464,1,56.6
10/20/17 1:45:00,0,0.47,1,55.9
10/20/17 2:00:00,0,0.492,1,54.1
10/20/17 2:15:00,0,0.521,1,54.1
10/20/17 2:30:00,0,0.519,1,54.9
10/20/17 2:45:00,0,0.503,1,54.3
10/20/17 3:00:00,0,0.486,1,54.9
10/20/17 3:15:00,0,0.482,1,53.4
10/20/17 3:30:00,0,0.516,1,52.5
10/20/17 3:45:00,0,0.509,1,53.7
10/20/17 4:00:00,0,0.499,1,53.5
10/20/17 4:15:00,0,0.495,1,52.7
10/20/17 4:30:00,0,0.511,1,51.4
10/20/17 4:45:00,0,0.522,1,51.4
10/20/17 5:00:00,0,0.516,1,51.5
10/20/17 5:15:00,0,0.506,1,51.2
10/20/17 5:30:00,0,0.494,1,51.3
10/20/17 5:45:00,0,0.482,1,50.7
10/20/17 6:00:00,0,0.481,1,50.5
10/20/17 6:15:00,0,0.463,1,51.1
10/20/17 6:30:00,0,0.465,1,50.6
10/20/17 6:45:00,0,0.503,1,50.1
10/20/17 7:00:00,0,0.434,1,50.4
10/20/17 7:15:00,0,0.379,1,50.1
10/20/17 7:30:00,0,0.344,1,50.3
10/20/17 7:45:00,0,0.322,1,49.8
10/20/17 8:00:00,0,0.306,1,50.1
10/20/17 8:15:00,0,0.298,1,50.9
10/20/17 8:30:00,0,0.292,1,51.2
10/20/17 8:45:00,0,0.288,1,52.3
10/20/17 9:00:00,0,0.285,1,53.5
10/20/17 9:15:00,0,0.284,1,55.1
10/20/17 9:30:00,0,0.288,1,56.7
10/20/17 9:45:00,0,0.295,1,58
10/20/17 10:00:00,0,0.325,1,59.4
10/20/17 10:15:00,0,0.327,1,61.5
10/20/17 10:30:00,0,0.315,1,63.5
10/20/17 10:45:00,0,0.305,1,65.1
10/20/17 11:00:00,0,0.3,1,67
10/20/17 11:15:00,0,0.296,1,68.7
10/20/17 11:30:00,0,0.294,1,69.2
10/20/17 11:45:00,0,0.292,1,70.5
10/20/17 12:00:00,0,0.293,1,71.4
10/20/17 12:15:00,0,0.328,1,72.2
10/20/17 12:30:00,0,0.352,1,72.3
10/20/17 12:45:00,0,0.361,1,73.7
10/20/17 13:00:00,0,0.409,1,74.4
10/20/17 13:15:00,0,0.447,1,76
10/20/17 13:30:00,0,0.434,1,76.9
10/20/17 13:45:00,0,0.405,1,77.4
10/20/17 14:00:00,0,0.388,1,78.2
10/20/17 14:15:00,0,0.382,1,78.5
10/20/17 14:30:00,0,0.412,1,79.5
10/20/17 14:45:00,0,0.442,1,79.3
10/20/17 15:00:00,0,0.506,1,80.4
10/20/17 15:15:00,0,0.562,1,80.6
10/20/17 15:30:00,0,0.579,1,81.1
10/20/17 15:45:00,0,0.61,1,80.8
10/20/17 16:00:00,0,0.656,1,80.4
10/20/17 16:15:00,0,0.678,1,80
10/20/17 16:30:00,0,0.688,1,80.5
10/20/17 16:45:00,0,0.737,1,80
10/20/17 17:00:00,0,0.826,1,79.6
10/20/17 17:15:00,0,0.039,1,79.3
10/20/17 17:30:00,0,0.267,1,77.9
10/20/17 17:45:00,0,0.454,1,78.5
10/20/17 18:00:00,0,0.593,1,78.2
10/20/17 18:15:00,0,0.669,1,78
10/20/17 18:30:00,0,0.72,1,76.6
10/20/17 18:45:00,0,0.769,1,75.5
10/20/17 19:00:00,0,0.678,1,75.1
10/20/17 19:15:00,0,0.577,1,75.4
10/20/17 19:30:00,0,0.507,1,74.6
10/20/17 19:45:00,0,0.455,1,73.4
10/20/17 20:00:00,0,0.42,1,72.9
10/20/17 20:15:00,0,0.38,1,71.2
10/20/17 20:30:00,0,0.352,1,69.8
10/20/17 20:45:00,0,0.332,1,69.8
10/20/17 21:00:00,0,0.32,1,69
10/20/17 21:15:00,0,0.313,1,68
10/20/17 21:30:00,0,0.311,1,68.1
10/20/17 21:45:00,0,0.316,1,66.7
10/20/17 22:00:00,0,0.325,1,66.8
10/20/17 22:15:00,0,0.335,1,65.8
10/20/17 22:30:00,0,0.336,1,65.8
10/20/17 22:45:00,0,0.337,1,66
10/20/17 23:00:00,0,0.345,1,65.6
10/20/17 23:15:00,0,0.364,1,65.8
10/20/17 23:30:00,0,0.382,1,65.2
10/20/17 23:45:00,0,0.389,1,66
10/21/17 0:00:00,0,0.399,1,66.6
10/21/17 0:15:00,0,0.42,1,66.6
10/21/17 0:30:00,0,0.43,1,65.8
10/21/17 0:45:00,0,0.425,1,65.1
10/21/17 1:00:00,0,0.431,1,64
10/21/17 1:15:00,0,0.442,1,63.6
10/21/17 1:30:00,0,0.456,1,64.8
10/21/17 1:45:00,0,0.468,1,65.3
10/21/17 2:00:00,0,0.477,1,65.4
10/21/17 2:15:00,0,0.487,1,64.6
10/21/17 2:30:00,0,0.496,1,64.7
10/21/17 2:45:00,0,0.495,1,64.6
10/21/17 3:00:00,0,0.476,1,63.6
10/21/17 3:15:00,0,0.462,1,63
10/21/17 3:30:00,0,0.461,1,61.8
10/21/17 3:45:00,0,0.47,1,62.5
10/21/17 4:00:00,0,0.465,1,62.4
10/21/17 4:15:00,0,0.458,1,62.3
10/21/17 4:30:00,0,0.453,1,62.5
10/21/17 4:45:00,0,0.511,1,62.9
10/21/17 5:00:00,0,0.515,1,62.6
10/21/17 5:15:00,0,0.488,1,62.2
10/21/17 5:30:00,0,0.466,1,62.3
10/21/17 5:45:00,0,0.464,1,62
10/21/17 6:00:00,0,0.477,1,62.1
10/21/17 6:15:00,0,0.526,1,61.7
10/21/17 6:30:00,0,0.513,1,61.5
10/21/17 6:45:00,0,0.447,1,61.4
10/21/17 7:00:00,0,0.411,1,61.4
10/21/17 7:15:00,0,0.401,1,61.2
10/21/17 7:30:00,0,0.399,1,61.3
10/21/17 7:45:00,0,0.374,1,60.6
10/21/17 8:00:00,0,0.346,1,60.7
10/21/17 8:15:00,0,0.327,1,61
10/21/17 8:30:00,0,0.314,1,61
10/21/17 8:45:00,0,0.305,1,61.3
10/21/17 9:00:00,0,0.299,1,61.7
10/21/17 9:15:00,0,0.295,1,62.3
10/21/17 9:30:00,0,0.293,1,62.8
10/21/17 9:45:00,0,0.292,1,63.9
10/21/17 10:00:00,0,0.291,1,64.8
10/21/17 10:15:00,0,0.29,1,65.7
10/21/17 10:30:00,0,0.292,1,67.1
10/21/17 10:45:00,0,0.295,1,68.6
10/21/17 11:00:00,0,0.297,1,69.5
10/21/17 11:15:00,0,0.299,1,70.5
10/21/17 11:30:00,0,0.301,1,71.6
10/21/17 11:45:00,0,0.321,1,72
10/21/17 12:00:00,0,0.419,1,72.6
10/21/17 12:15:00,0,0.581,1,74.3
10/21/17 12:30:00,0,0.706,1,73.6
10/21/17 12:45:00,0,0.82,1,73.7
10/21/17 13:00:00,0,0.895,1,73.7
10/21/17 13:15:00,0,0.955,1,75.2
10/21/17 13:30:00,0,1,1,74.6
10/21/17 13:45:00,0,1,1,74.8
10/21/17 14:00:00,0,0.833,1,76.6
10/21/17 14:15:00,0,0.66,1,76.6
10/21/17 14:30:00,0,0.55,1,76.8
10/21/17 14:45:00,0,0.484,1,77.4
10/21/17 15:00:00,0,0.45,1,78.4
10/21/17 15:15:00,0,0.475,1,78.7
10/21/17 15:30:00,0,0.543,1,78
10/21/17 15:45:00,0,0.634,1,77.9
10/21/17 16:00:00,0,0.598,1,77.6
10/21/17 16:15:00,0,0.533,1,77.8
